,Main,^,Benevis,Begir,Sahih,Ashar,Harf,Reshte,Bool,agar,ta,YekiBala,YekiPain,INTEGER,FLOAT,STRING,CHAR,BOOL,IDENTIFIER,(,",",=,Zarb,Tagsim,Bagimande,Jam,Kam,&B,&BM,&K,&KM,&MM,&NM,Ya,Va,},),]
START,Main()[STATEMENT] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,^,Benevis(EXPR)^STATEMENT,"Begir(STRING, &IDENTIFIER)^STATEMENT",Sahih IDENTIFIER STATE_1^STATEMENT,Ashar IDENTIFIER STATE_1^STATEMENT,Harf IDENTIFIER STATE_1^STATEMENT,Reshte IDENTIFIER STATE_1^STATEMENT,Bool IDENTIFIER STATE_1^STATEMENT,agar{EXPR}[STATEMENT]STATEMENT,ta{EXPR}[STATEMENT]STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,EXPR^STATEMENT,,,,,,,,,,,,,,,,,,EMPTY
STATE_1,,EMPTY,,,,,,,,,,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,Assignment STATE_1,", IDENTIFIER STATE_1",=' Assignment,,,,,,,,,,,,,,,,
Primary_EXPR,,,,,,,,,,,,,,INTEGER,FLOAT,STRING,CHAR,BOOL,IDENTIFIER,( EXPR ),,,,,,,,,,,,,,,,,,
Postfix_EXPR,,,,,,,,,,,,,,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,Primary_EXPR Postfix_Op,,,,,,,,,,,,,,,,,,
Postfix_Op,,EMPTY,,,,,,,,,,YekiBala Postfix_Op,YekiPain Postfix_Op,,,,,,,,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,
Unary_EXPR,,,,,,,,,,,,YekiBala Unary_EXPR,YekiPain Unary_EXPR,Postfix_EXPR,Postfix_EXPR,Postfix_EXPR,Postfix_EXPR,Postfix_EXPR,Postfix_EXPR,Postfix_EXPR,,,,,,,,,,,,,,,,,,
Multiplicative,,,,,,,,,,,,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,Unary_EXPR Multiplicative_Sub,,,,,,,,,,,,,,,,,,
Multiplicative_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,EMPTY,EMPTY,Zarb Unary_EXPR Multiplicative_Sub,Tagsim Unary_EXPR Multiplicative_Sub,Bagimande Unary_EXPR Multiplicative_Sub,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,
Additive,,,,,,,,,,,,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,Multiplicative Additive_Sub,,,,,,,,,,,,,,,,,,
Additive_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,EMPTY,EMPTY,,,,Jam Multiplicative Additive_Sub,Kam Multiplicative Additive_Sub,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,
Relational,,,,,,,,,,,,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,Additive Relational_Sub,,,,,,,,,,,,,,,,,,
Relational_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,EMPTY,EMPTY,,,,,,&B Additive Relational_Sub,&BM Additive Relational_Sub,&K Additive Relational_Sub,&KM Additive Relational_Sub,&MM Additive Relational_Sub,&NM Additive Relational_Sub,EMPTY,EMPTY,EMPTY,EMPTY,
AndOr_EXPR,,,,,,,,,,,,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,Relational AndOr_Sub,,,,,,,,,,,,,,,,,,
AndOr_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,EMPTY,EMPTY,,,,,,,,,,,,Ya Relational AndOr_Sub,Va Relational AndOr_Sub,EMPTY,EMPTY,
Assignment,,,,,,,,,,,,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,AndOr_EXPR Assignment_Sub,,,,,,,,,,,,,,,,,,
Assignment_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,EMPTY,= Assignment,,,,,,,,,,,,,,EMPTY,EMPTY,
EXPR,,,,,,,,,,,,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,Assignment EXPR_Sub,,,,,,,,,,,,,,,,,,
EXPR_Sub,,EMPTY,,,,,,,,,,,,,,,,,,,", Assignment EXPR_Sub",,,,,,,,,,,,,,,EMPTY,EMPTY,
